月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
1月,骨外二,多余行,2026-01-14 01:58:12.737000,2026-02-03 14:52:27.910000,整行,,20408506.0/None/-35.0,,32,
1月,骨外二,汇总不一致-总价,骨外二,,总价,449.0,-35.0,8,30,
2月,供应室,缺失行,市二院外来一套192件（只消毒）,1576043,整行,1.0/0.0/0.0,,9,,
2月,供应室,缺失行,市二院外来133（只消毒）,1576336,整行,1.0/0.0/0.0,,10,,
2月,供应室,缺失行,市二院外来-84件（只消毒）,1576336,整行,1.0/0.0/0.0,,11,,
2月,供应室,缺失行,市二院外来-62件（只消毒）,1577198,整行,1.0/0.0/0.0,,12,,
2月,供应室,缺失行,市二院外来-62件（只消毒）,1577844,整行,1.0/0.0/0.0,,13,,
2月,供应室,缺失行,市二院外来82（只消毒）,1577844,整行,1.0/0.0/0.0,,14,,
2月,供应室,缺失行,市二院外来-63件（只消毒）,1578542,整行,1.0/0.0/0.0,,15,,
2月,供应室,缺失行,市二院外来47（只消毒）,1579586,整行,1.0/0.0/0.0,,16,,
2月,供应室,缺失行,市二院外来5件（只消毒）,1579586,整行,1.0/0.0/0.0,,17,,
2月,供应室,缺失行,市二院外来-80（只消毒）,1579586,整行,1.0/0.0/0.0,,18,,
2月,供应室,缺失行,市二院外来一套314件（只消毒）,1579586,整行,1.0/0.0/0.0,,19,,
2月,供应室,缺失行,市二院外来107（只消毒）,1580498,整行,1.0/0.0/0.0,,20,,
2月,供应室,缺失行,市二院外来-53（只消毒）,1580900,整行,1.0/0.0/0.0,,21,,
2月,供应室（手术室）,多余行,市二院外来一套192件（只消毒）,1576043,整行,,1.0/0.0/0.0,,31,
2月,供应室（手术室）,多余行,市二院外来133（只消毒）,1576336,整行,,1.0/0.0/0.0,,32,
2月,供应室（手术室）,多余行,市二院外来-84件（只消毒）,1576336,整行,,1.0/0.0/0.0,,33,
2月,供应室（手术室）,多余行,市二院外来-62件（只消毒）,1577198,整行,,1.0/0.0/0.0,,34,
2月,供应室（手术室）,多余行,市二院外来-62件（只消毒）,1577844,整行,,1.0/0.0/0.0,,35,
2月,供应室（手术室）,多余行,市二院外来82（只消毒）,1577844,整行,,1.0/0.0/0.0,,36,
2月,供应室（手术室）,多余行,市二院外来-63件（只消毒）,1578542,整行,,1.0/0.0/0.0,,37,
2月,供应室（手术室）,多余行,市二院外来47（只消毒）,1579586,整行,,1.0/0.0/0.0,,38,
2月,供应室（手术室）,多余行,市二院外来5件（只消毒）,1579586,整行,,1.0/0.0/0.0,,39,
2月,供应室（手术室）,多余行,市二院外来-80（只消毒）,1579586,整行,,1.0/0.0/0.0,,40,
2月,供应室（手术室）,多余行,市二院外来一套314件（只消毒）,1579586,整行,,1.0/0.0/0.0,,41,
2月,供应室（手术室）,多余行,市二院外来107（只消毒）,1580498,整行,,1.0/0.0/0.0,,42,
2月,供应室（手术室）,多余行,市二院外来-53（只消毒）,1580900,整行,,1.0/0.0/0.0,,43,
2月,大博,多余行,谢汝君-股骨头缺血性坏死1/7,1575352,整行,,1.0/1750.0/1750.0,,5,
2月,大博,多余行,谢汝君-股骨头缺血性坏死2/7,1575352,整行,,1.0/0.0/0.0,,6,
2月,大博,多余行,谢汝君-股骨头缺血性坏死3/7,1575352,整行,,1.0/0.0/0.0,,7,
2月,大博,多余行,谢汝君-股骨头缺血性坏死4/7,1575352,整行,,1.0/0.0/0.0,,8,
2月,大博,多余行,谢汝君-股骨头缺血性坏死5/7,1575352,整行,,1.0/0.0/0.0,,9,
2月,大博,多余行,谢汝君-股骨头缺血性坏死6/7,1575352,整行,,1.0/0.0/0.0,,10,
2月,大博,多余行,谢汝君-股骨头缺血性坏死7/7,1575352,整行,,1.0/0.0/0.0,,11,
2月,大博,多余行,高维甫-股骨头无菌性坏死1/7,1575690,整行,,1.0/1750.0/1750.0,,12,
2月,大博,多余行,高维甫-股骨头无菌性坏死2/7,1575690,整行,,1.0/0.0/0.0,,13,
2月,大博,多余行,高维甫-股骨头无菌性坏死3/7,1575690,整行,,1.0/0.0/0.0,,14,
2月,大博,多余行,高维甫-股骨头无菌性坏死4/7,1575690,整行,,1.0/0.0/0.0,,15,
2月,大博,多余行,高维甫-股骨头无菌性坏死5/7,1575690,整行,,1.0/0.0/0.0,,16,
2月,大博,多余行,高维甫-股骨头无菌性坏死6/7,1575690,整行,,1.0/0.0/0.0,,17,
2月,大博,多余行,高维甫-股骨头无菌性坏死7/7,1575690,整行,,1.0/0.0/0.0,,18,
2月,手术室,字段不一致-单价,眼科双极线（EO）-1/z2530,1575740,单价,30.5,30.0,92,92,原始按器械数×基础单价(30.5)计费；处理后按标准价(30)计费
2月,手术室,字段不一致-总价,眼科双极线（EO）-1/z2530,1575740,总价,30.5,30.0,92,92,原始按器械数×基础单价(30.5)计费；处理后按标准价(30)计费
2月,手术室,字段不一致-单价,市二院止血带7个（只消毒）,1576044,单价,0.0,8.0,122,122,
2月,手术室,字段不一致-总价,市二院止血带7个（只消毒）,1576044,总价,0.0,8.0,122,122,
2月,手术室,字段不一致-单价,支撑喉镜架（低温）-5/w9050,1578157,单价,27.5,88.0,328,328,原始按器械数×基础单价(27.5)计费；处理后按标准价(88)计费
2月,手术室,字段不一致-总价,支撑喉镜架（低温）-5/w9050,1578157,总价,27.5,88.0,328,328,原始按器械数×基础单价(27.5)计费；处理后按标准价(88)计费
2月,手术室,字段不一致-单价,泌尿-12度镜/Z2060,1580215,单价,13.0,28.0,548,548,原始按器械数×基础单价(13)计费；处理后按标准价(28)计费
2月,手术室,字段不一致-总价,泌尿-12度镜/Z2060,1580215,总价,13.0,28.0,548,548,原始按器械数×基础单价(13)计费；处理后按标准价(28)计费
2月,手术室,字段不一致-单价,市二院止血带7个（只消毒）,1581212,单价,0.0,8.0,662,662,
2月,手术室,字段不一致-总价,市二院止血带7个（只消毒）,1581212,总价,0.0,8.0,662,662,
2月,手术室,汇总不一致-总价,手术室,,总价,46594.0,46685.0,8,8,
2月,星檀,多余行,王淑云-股骨骨折 右1/1,1579467,整行,,1.0/250.0/250.0,,5,
2月,钇嵩,多余行,于松水-腰椎骨折  1/4,1575692,整行,,1.0/0.0/0.0,,5,
2月,钇嵩,多余行,刘建华-右侧股骨颈骨折  1/2,1575692,整行,,1.0/0.0/0.0,,6,
2月,钇嵩,多余行,刘建华-右侧股骨颈骨折  2/2,1575692,整行,,1.0/1000.0/1000.0,,7,
2月,钇嵩,多余行,于松水-腰椎骨折  2/4,1575692,整行,,1.0/0.0/0.0,,8,
