月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
3月,手术室,缺失行,气腹管-1/z3040,1589785,整行,1.0/35.0/35.0,,62,,
3月,手术室,缺失行,施夹钳-1/Z2060,1589785,整行,1.0/28.0/28.0,,63,,
3月,手术室,缺失行,弯分离钳-1/Z2060,1589785,整行,2.0/28.0/56.0,,64,,
3月,手术室,缺失行,无损伤-1/Z2060,1589785,整行,1.0/28.0/28.0,,65,,
3月,手术室,缺失行,转换器-1/Z7520,1589785,整行,1.0/22.0/22.0,,66,,
3月,手术室,缺失行,持物钳罐-2/W6050,1589807,整行,1.0/16.5/16.5,,67,,
3月,手术室,缺失行,腹腔镜器械-9件/W6050,1589807,整行,1.0/49.5/49.5,,68,,
3月,手术室,缺失行,阑尾包,1590734,整行,2.0/159.5/319.0,,69,,
3月,手术室,缺失行,持物钳罐-2/W6050,1590734,整行,2.0/16.5/33.0,,70,,
3月,手术室,多余行,成像/Z3040,1580164,整行,,1.0/35.0/35.0,,9,
3月,手术室,多余行,穿刺器10.5-1/Z1026,1580164,整行,,2.0/22.0/44.0,,10,
3月,手术室,多余行,穿刺器5.5-1/Z1026,1580164,整行,,1.0/22.0/22.0,,11,
3月,手术室,多余行,单极钩（低温）-1/Z7550,1580164,整行,,1.0/22.0/22.0,,12,
3月,手术室,多余行,电凝棒-1/z7550,1580164,整行,,1.0/22.0/22.0,,13,
3月,手术室,多余行,电凝线-1/Z3040,1580164,整行,,1.0/35.0/35.0,,14,
3月,手术室,多余行,光源线-1/Z3040,1580164,整行,,1.0/35.0/35.0,,15,
3月,手术室,多余行,镜头-1/Z2060,1580164,整行,,1.0/28.0/28.0,,16,
3月,手术室,多余行,气腹管-1/z3040,1580164,整行,,1.0/35.0/35.0,,17,
3月,手术室,多余行,施夹钳-1/Z2060,1580164,整行,,1.0/28.0/28.0,,18,
3月,手术室,多余行,弯分离钳-1/Z2060,1580164,整行,,1.0/28.0/28.0,,19,
3月,手术室,多余行,无损伤-1/Z2060,1580164,整行,,1.0/28.0/28.0,,20,
3月,手术室,多余行,转换器-1/Z7520,1580164,整行,,1.0/22.0/22.0,,21,
3月,手术室,多余行,阑尾包,1580721,整行,,1.0/159.5/159.5,,22,
3月,手术室,多余行,门诊包,1580721,整行,,1.0/137.5/137.5,,23,
3月,手术室,多余行,小门诊包,1580721,整行,,1.0/71.5/71.5,,24,
3月,手术室,多余行,剥离质-1/Z7534,1580721,整行,,1.0/8.0/8.0,,25,
3月,手术室,多余行,克氏钳-1/z1029,1580721,整行,,1.0/8.0/8.0,,26,
3月,手术室,多余行,驱血带(高温)/Z2032,1580721,整行,,1.0/13.0/13.0,,27,
3月,手术室,多余行,咬针器-1/W6050,1580721,整行,,1.0/16.5/16.5,,28,
3月,手术室,多余行,持物钳罐-2/W6050,1580721,整行,,1.0/16.5/16.5,,29,
3月,手术室,多余行,锤子凿子-5/W6050,1580721,整行,,1.0/27.5/27.5,,30,
3月,手术室,汇总不一致-总价,手术室,,总价,3397.5,3431.5,8,8,
4月,外科,缺失行,止血钳-2剪刀-1/Z1526,1598459,整行,1.0/16.5/16.5,,42,,
4月,外科,缺失行,止血钳-3/Z1526,1598459,整行,1.0/16.5/16.5,,43,,
4月,外科,缺失行,缝合包,1598459,整行,3.0/38.5/115.5,,44,,
4月,外科,缺失行,止血钳-2剪刀-1/Z1526,1599305,整行,1.0/16.5/16.5,,45,,
4月,外科,缺失行,缝合包,1599305,整行,4.0/38.5/154.0,,46,,
4月,外科,缺失行,棉球（棉布）,1599438,整行,1.0/2.5/2.5,,47,,
4月,外科,缺失行,纱条（棉布）,1599438,整行,1.0/2.5/2.5,,48,,
4月,外科,多余行,止血钳-3/Z1526,1590377,整行,,1.0/16.5/16.5,,9,
4月,外科,多余行,缝合包,1590377,整行,,3.0/38.5/115.5,,10,
4月,外科,多余行,刀柄1持针器1剪刀1止血钳1/W6050,1590377,整行,,1.0/22.0/22.0,,11,
4月,外科,汇总不一致-总价,外科,,总价,1835.0,1665.0,8,8,
4月,妇产科,缺失行,取环器-1/Z1535,1599303,整行,1.0/11.0/11.0,,29,,
