月份,Sheet,问题类型,包名,发货单号,字段,原始值,处理后值,原始行号,处理后行号,说明
3月,手术室,字段不一致-单价,敷料包（无纺布）,1587104,单价,0.0,20.0,148,148,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1587104,总价,0.0,120.0,148,148,
3月,手术室,字段不一致-单价,刷手包,1587104,单价,0.0,20.0,149,149,
3月,手术室,字段不一致-总价,刷手包,1587104,总价,0.0,20.0,149,149,
3月,手术室,字段不一致-单价,刷手包,1587553,单价,0.0,20.0,166,166,
3月,手术室,字段不一致-总价,刷手包,1587553,总价,0.0,20.0,166,166,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1587852,单价,0.0,20.0,175,175,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1587852,总价,0.0,100.0,175,175,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1588443,单价,0.0,20.0,179,179,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1588443,总价,0.0,60.0,179,179,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1589099,单价,0.0,20.0,190,190,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1589099,总价,0.0,80.0,190,190,
3月,手术室,字段不一致-单价,敷料包（纸塑袋）,1589099,单价,0.0,8.0,196,196,
3月,手术室,字段不一致-总价,敷料包（纸塑袋）,1589099,总价,0.0,8.0,196,196,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1589553,单价,0.0,20.0,224,224,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1589553,总价,0.0,20.0,224,224,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1589871,单价,0.0,20.0,236,236,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1589871,总价,0.0,320.0,236,236,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1590414,单价,0.0,20.0,245,245,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1590414,总价,0.0,40.0,245,245,
3月,手术室,字段不一致-单价,敷料包（无纺布）,1590852,单价,0.0,20.0,263,263,
3月,手术室,字段不一致-总价,敷料包（无纺布）,1590852,总价,0.0,220.0,263,263,
3月,手术室,汇总不一致-总价,手术室,,总价,13019.5,14755.5,8,8,
4月,供应室,字段不一致-单价,器械包（无纺布）,1591231,单价,0.0,20.0,12,11,
4月,供应室,字段不一致-总价,器械包（无纺布）,1591231,总价,0.0,20.0,12,11,
4月,供应室,字段不一致-单价,敷料包（纸塑袋）,1591231,单价,0.0,8.0,13,12,
4月,供应室,字段不一致-总价,敷料包（纸塑袋）,1591231,总价,0.0,16.0,13,12,
4月,供应室,字段不一致-单价,器械包（无纺布）,1592702,单价,0.0,20.0,15,14,
4月,供应室,字段不一致-总价,器械包（无纺布）,1592702,总价,0.0,60.0,15,14,
4月,供应室,字段不一致-单价,敷料包（纸塑袋）,1592702,单价,0.0,8.0,17,16,
4月,供应室,字段不一致-总价,敷料包（纸塑袋）,1592702,总价,0.0,48.0,17,16,
4月,供应室,字段不一致-单价,器械包（无纺布）,1593439,单价,0.0,20.0,19,18,
4月,供应室,字段不一致-总价,器械包（无纺布）,1593439,总价,0.0,60.0,19,18,
4月,供应室,字段不一致-单价,器械包（无纺布）,1594426,单价,0.0,20.0,21,20,
4月,供应室,字段不一致-总价,器械包（无纺布）,1594426,总价,0.0,40.0,21,20,
4月,供应室,字段不一致-单价,敷料包（纸塑袋）,1594426,单价,0.0,8.0,22,21,
4月,供应室,字段不一致-总价,敷料包（纸塑袋）,1594426,总价,0.0,8.0,22,21,
4月,供应室,字段不一致-单价,环氧乙烷（自行打包）-1包,1594527,单价,0.0,35.0,23,22,
4月,供应室,字段不一致-总价,环氧乙烷（自行打包）-1包,1594527,总价,0.0,35.0,23,22,
4月,供应室,字段不一致-单价,器械包（无纺布）,1595580,单价,0.0,20.0,25,24,
4月,供应室,字段不一致-总价,器械包（无纺布）,1595580,总价,0.0,80.0,25,24,
4月,供应室,字段不一致-单价,敷料包（纸塑袋）,1595580,单价,0.0,8.0,26,25,
4月,供应室,字段不一致-总价,敷料包（纸塑袋）,1595580,总价,0.0,8.0,26,25,
4月,供应室,字段不一致-单价,环氧乙烷（自行打包）-1包,1595710,单价,0.0,35.0,28,27,
4月,供应室,字段不一致-总价,环氧乙烷（自行打包）-1包,1595710,总价,0.0,35.0,28,27,
